Gene,Correlation,Uncorrected_P,FDR_P,Significant_FDR,Abs_Corr
SSTR1,0.16882305820482246,0.007966817837917157,0.03924021950546538,True,0.16882305820482246
RASAL1,0.16878960546940638,0.007979419861099698,0.03924709038422913,True,0.16878960546940638
IQCA1,0.1687098025584138,0.008009554185369416,0.03934005435787335,True,0.1687098025584138
FIBIN,0.168592516461955,0.008054026308301767,0.03949738430741743,True,0.168592516461955
TMEM263,0.1685659154916241,0.008064143283781685,0.03949738430741743,True,0.1685659154916241
PHYH,-0.1685155348659975,0.00808333521373824,0.03953608927166385,True,0.1685155348659975
KCTD9,-0.16834182246883686,0.008149820983272936,0.03980568073001649,True,0.16834182246883686
TAF10,0.16826887132292948,0.008177886651552908,0.03987327473874332,True,0.16826887132292948
PIM3,-0.16824670384765378,0.00818643190666946,0.03987327473874332,True,0.16824670384765378
C5orf49,0.16818745623191686,0.008209310035505138,0.03992917186713749,True,0.16818745623191686
SYT15,-0.16807379754050317,0.008253357920325263,0.04003449363444246,True,0.16807379754050317
OST4,0.1680725884054881,0.008253827642509268,0.04003449363444246,True,0.1680725884054881
CDHR1,0.16800931033970104,0.00827844297108966,0.04009835032469708,True,0.16800931033970104
CNNM1,-0.16797182715423487,0.008293054792138422,0.04011364348352038,True,0.16797182715423487
ANK3,0.16792668611367337,0.008310682259277606,0.040143461064814034,True,0.16792668611367337
COCH,0.16779045690197897,0.008364081580975924,0.040345748893357694,True,0.16779045690197897
NECAB3,-0.1676868743356906,0.008404887937437136,0.040453780297821484,True,0.1676868743356906
EFEMP1,0.16764737592519932,0.00842049488416522,0.040453780297821484,True,0.16764737592519932
CTSZ,-0.16764576374517928,0.008421132449203844,0.040453780297821484,True,0.16764576374517928
GLI3,0.16753492636880069,0.00846506805778002,0.04060913471006251,True,0.16753492636880069
AKR7A2,0.1674647965379284,0.008492972435097368,0.040680111724113246,True,0.1674647965379284
GOLPH3,-0.16743940470261257,0.008503095882938577,0.040680111724113246,True,0.16743940470261257
HIST1H2BK,0.16737008096175032,0.008530789126690705,0.04075692158481698,True,0.16737008096175032
CPNE4,-0.16724876441524142,0.00857944519907054,0.04093353826586516,True,0.16724876441524142
IFT22,0.1671355087688327,0.00862509068125507,0.04109533002143572,True,0.1671355087688327
KIAA1107,-0.16704442059769978,0.008661958391957873,0.04121491615303868,True,0.16704442059769978
FAM120AOS,0.1669227010061858,0.008711442577754237,0.041343638056509736,True,0.1669227010061858
WTIP,0.16689529394584493,0.008722619283505303,0.041343638056509736,True,0.16689529394584493
APOM,0.1668908604507898,0.008724428476230924,0.041343638056509736,True,0.1668908604507898
DUSP5P1,0.16681831234988742,0.008754080831323698,0.041412706257315884,True,0.16681831234988742
HSD11B1,-0.16677196217431092,0.008773072215359863,0.041412706257315884,True,0.16677196217431092
TFEC,0.1667409277089249,0.00878580862656626,0.041412706257315884,True,0.1667409277089249
RSPH9,0.16673971857390987,0.00878630518252019,0.041412706257315884,True,0.16673971857390987
MGST1,0.16662565683749117,0.008833259164796317,0.041578055907414924,True,0.16662565683749117
RAET1E-AS1,0.1665926071470801,0.008846905769575182,0.041586394637654074,True,0.1665926071470801
SLC39A8,-0.16651361032609754,0.008879600351846234,0.04163328137948738,True,0.16651361032609754
TUBD1,-0.16645355662035058,0.008904526626723456,0.04163328137948738,True,0.16645355662035058
OSBPL2,-0.16644710790027037,0.008907206963277512,0.04163328137948738,True,0.16644710790027037
DIRAS1,-0.16643179219007992,0.008913575633153824,0.04163328137948738,True,0.16643179219007992
EFCAB1,0.1664112368948242,0.008922129411302963,0.04163328137948738,True,0.1664112368948242
XYLT2,-0.1663918907345836,0.008930186681229786,0.04163328137948738,True,0.1663918907345836
BTBD9,0.1663681110792878,0.008940099256817394,0.04163328137948738,True,0.1663681110792878
DDAH2,0.1661363602014053,0.00903721744462302,0.04199520697476542,True,0.1661363602014053
NKAIN4,0.16612547798626995,0.009041800702162515,0.04199520697476542,True,0.16612547798626995
STARD9,-0.16608114303571853,0.009060494559401413,0.04202629396956788,True,0.16608114303571853
ARL16,0.1659267767987985,0.009125851035068586,0.04223265870777263,True,0.1659267767987985
SYNE4,-0.16591911894370326,0.00912910412386747,0.04223265870777263,True,0.16591911894370326
BAIAP2,0.16586954440808666,0.009150188492070593,0.042274353692917176,True,0.16586954440808666
SLIT3,0.16569018938085583,0.009226830651330507,0.04255754586171333,True,0.16569018938085583
RND2,-0.1656680219055801,0.009236342703338209,0.04255754586171333,True,0.1656680219055801
FEZF2,0.16564101789024424,0.009247941862011376,0.04255754586171333,True,0.16564101789024424
ANO3,0.16555154189913135,0.0092864672689355,0.04264037422403363,True,0.16555154189913135
GPLD1,-0.16554267490902103,0.009290292842072433,0.04264037422403363,True,0.16554267490902103
SYT2,-0.16543304666765746,0.009337706420166032,0.04272510582988602,True,0.16543304666765746
TMEM200A,0.1653971756622113,0.00935326694316599,0.04272510582988602,True,0.1653971756622113
FABP3,0.16538951780711608,0.009356591829052574,0.04272510582988602,True,0.16538951780711608
MTUS2,-0.16532180624627388,0.009386036448599538,0.04272510582988602,True,0.16532180624627388
TDRD1,-0.16529036873588285,0.009399735067942977,0.04272510582988602,True,0.16529036873588285
ZSCAN18,0.16527505302569234,0.009406415172890117,0.04272510582988602,True,0.16527505302569234
COQ3,-0.16527263475566228,0.009407470310938814,0.04272510582988602,True,0.16527263475566228
FAM217B,-0.16526215558553192,0.009412043788398534,0.04272510582988602,True,0.16526215558553192
PACRG,0.16524724292034645,0.00941855559699372,0.04272510582988602,True,0.16524724292034645
SCN1B,-0.165202907969795,0.009437938621223349,0.04275764689718521,True,0.165202907969795
POU6F2,-0.16506305135305546,0.009499315164880845,0.04298010556513271,True,0.16506305135305546
TYW5,0.1649135216561956,0.009565327840795413,0.043194632884752074,True,0.1649135216561956
DEXI,-0.16489981812602517,0.009571397806558427,0.043194632884752074,True,0.16489981812602517
C6orf47,-0.16485508013046873,0.009591238228323428,0.04322846367514626,True,0.16485508013046873
TNNT1,0.16472852399889462,0.00964756088327755,0.04342642443860923,True,0.16472852399889462
UNC5B-AS1,0.16457939734703977,0.00971430427218139,0.04367072344182186,True,0.16457939734703977
UBE2QL1,-0.16446896301566621,0.00976399373611071,0.04383782828699962,True,0.16446896301566621
HTR1A,0.16441858239003956,0.009786736968191228,0.043883678441236466,True,0.16441858239003956
SMIM3,-0.16435046778419235,0.009817560411998454,0.04396559662764525,True,0.16435046778419235
SLC27A2,0.16430855110367099,0.009836571388896752,0.04396615194912477,True,0.16430855110367099
TMEM17,0.16429484757350055,0.009842793583127875,0.04396615194912477,True,0.16429484757350055
GDF11,0.164153781821746,0.009907048475714407,0.044196794601212556,True,0.164153781821746
KANK1,0.16395064713921936,0.010000227960123443,0.04455572304879427,True,0.16395064713921936
DND1,-0.1638801142633421,0.010032762924423995,0.04464388279711922,True,0.1638801142633421
MSN,0.1636681125907052,0.010131118449684496,0.045024336054308514,True,0.1636681125907052
PTTG1IP,0.16355566303430658,0.010183633547561936,0.045185814284292435,True,0.16355566303430658
CLEC16A,-0.16353510773905092,0.010193259076125364,0.045185814284292435,True,0.16353510773905092
ZYX,-0.16335454357680504,0.01027815926003227,0.045504568557058166,True,0.16335454357680504
LINC01197,0.16330779035622353,0.010300244041989684,0.04554476595334327,True,0.16330779035622353
KCNA2,-0.16314012363413807,0.010379790209086998,0.04583861956144094,True,0.16314012363413807
PUSL1,0.16309216127854154,0.01040264470949469,0.04588168988998791,True,0.16309216127854154
NKAIN2,0.16304500501295502,0.010425158473828645,0.045923150912387314,True,0.16304500501295502
C8orf34,0.1629801147671479,0.010456209387109726,0.04600206692670635,True,0.1629801147671479
NOV,0.16292368846644606,0.010483276622514123,0.046063280717747124,True,0.16292368846644606
TMEM170A,0.162859604310649,0.010514092383171107,0.046131735725835364,True,0.162859604310649
PTGER3,0.1628326002953131,0.010527101605205962,0.046131735725835364,True,0.1628326002953131
SLC35A4,-0.16280922368502238,0.010538374808871586,0.046131735725835364,True,0.16280922368502238
RHBDF2,0.16277496485959622,0.010554915163712228,0.046146458056579555,True,0.16277496485959622
HDGFL3,0.1626967741286237,0.010592752079203812,0.046237870555568314,True,0.1626967741286237
ETFRF1,0.16265687267312742,0.010612106770166958,0.046237870555568314,True,0.16265687267312742
RAP1B,0.16265002090804218,0.010615433445653034,0.046237870555568314,True,0.16265002090804218
MYC,-0.1626081042275208,0.01063580494688742,0.046254750253389966,True,0.1626081042275208
KLF8,0.1625492596567889,0.010664461698413332,0.046254750253389966,True,0.1625492596567889
B3GALT6,0.162521046506438,0.010678225421758978,0.046254750253389966,True,0.162521046506438
ZDHHC2,-0.16246341107072113,0.010706391542249415,0.046254750253389966,True,0.16246341107072113
MPHOSPH6,0.16244124359544543,0.010717242134257919,0.046254750253389966,True,0.16244124359544543
JADE1,-0.16243076442531507,0.010722374886725438,0.046254750253389966,True,0.16243076442531507
P2RY13,0.16242149439019976,0.010726917209055662,0.046254750253389966,True,0.16242149439019976
EEPD1,-0.16240537258999926,0.010734820950099871,0.046254750253389966,True,0.16240537258999926
CAMTA1,-0.16239852082491402,0.010738181597945758,0.046254750253389966,True,0.16239852082491402
PVR,-0.16228002559344018,0.010796448274478291,0.04644860179020022,True,0.16228002559344018
SMCO4,-0.16216918821706158,0.010851202063701862,0.04657916344786257,True,0.16216918821706158
LOC100129291,0.16216475472200642,0.010853397308239823,0.04657916344786257,True,0.16216475472200642
GABRG2,-0.16187657754342208,0.010996932372519044,0.04710052691695008,True,0.16187657754342208
FADS2,0.1618669044633018,0.011001779274147677,0.04710052691695008,True,0.1618669044633018
LINC02482,0.16175163359186803,0.011059683532952898,0.04729061261587429,True,0.16175163359186803
ARFGEF3,0.16167868244596068,0.011096468115749622,0.04733665682904962,True,0.16167868244596068
TLR3,0.1616766672209356,0.011097485795730935,0.04733665682904962,True,0.1616766672209356
C2CD4C,0.1616150013351686,0.011128666667761907,0.047411910791365204,True,0.1616150013351686
HSD11B1L,0.16149771523870982,0.01118818496289545,0.04760756226009704,True,0.16149771523870982
