Gene,Correlation,Uncorrected_P,FDR_P,Significant_FDR,Abs_Corr,AB_P
ZSCAN18,0.1652750530256923,0.0094064151728901,0.042725105829886,True,0.1652750530256923,0.0245
COQ3,-0.1652726347556622,0.0094074703109388,0.042725105829886,True,0.1652726347556622,0.0025
FAM217B,-0.1652621555855319,0.0094120437883985,0.042725105829886,True,0.1652621555855319,0.001
PACRG,0.1652472429203464,0.0094185555969937,0.042725105829886,True,0.1652472429203464,0.013
SCN1B,-0.165202907969795,0.0094379386212233,0.0427576468971852,True,0.165202907969795,0.0055
POU6F2,-0.1650630513530554,0.0094993151648808,0.0429801055651327,True,0.1650630513530554,0.002
TYW5,0.1649135216561956,0.0095653278407954,0.043194632884752,True,0.1649135216561956,0.0175
DEXI,-0.1648998181260251,0.0095713978065584,0.043194632884752,True,0.1648998181260251,0.0135
C6orf47,-0.1648550801304687,0.0095912382283234,0.0432284636751462,True,0.1648550801304687,0.03
TNNT1,0.1647285239988946,0.0096475608832775,0.0434264244386092,True,0.1647285239988946,0.0345
UNC5B-AS1,0.1645793973470397,0.0097143042721813,0.0436707234418218,True,0.1645793973470397,0.019
UBE2QL1,-0.1644689630156662,0.0097639937361107,0.0438378282869996,True,0.1644689630156662,0.0015
HTR1A,0.1644185823900395,0.0097867369681912,0.0438836784412364,True,0.1644185823900395,0.0485
SMIM3,-0.1643504677841923,0.0098175604119984,0.0439655966276452,True,0.1643504677841923,0.0205
SLC27A2,0.1643085511036709,0.0098365713888967,0.0439661519491247,True,0.1643085511036709,0.047
TMEM17,0.1642948475735005,0.0098427935831278,0.0439661519491247,True,0.1642948475735005,0.0105
GDF11,0.164153781821746,0.0099070484757144,0.0441967946012125,True,0.164153781821746,0.0075
KANK1,0.1639506471392193,0.0100002279601234,0.0445557230487942,True,0.1639506471392193,0.0
DND1,-0.1638801142633421,0.0100327629244239,0.0446438827971192,True,0.1638801142633421,0.045
MSN,0.1636681125907052,0.0101311184496844,0.0450243360543085,True,0.1636681125907052,0.0015
PTTG1IP,0.1635556630343065,0.0101836335475619,0.0451858142842924,True,0.1635556630343065,0.001
CLEC16A,-0.1635351077390509,0.0101932590761253,0.0451858142842924,True,0.1635351077390509,0.0015
ZYX,-0.163354543576805,0.0102781592600322,0.0455045685570581,True,0.163354543576805,0.002
LINC01197,0.1633077903562235,0.0103002440419896,0.0455447659533432,True,0.1633077903562235,0.023
KCNA2,-0.163140123634138,0.0103797902090869,0.0458386195614409,True,0.163140123634138,0.003
PUSL1,0.1630921612785415,0.0104026447094946,0.0458816898899879,True,0.1630921612785415,0.028
NKAIN2,0.163045005012955,0.0104251584738286,0.0459231509123873,True,0.163045005012955,0.004
C8orf34,0.1629801147671479,0.0104562093871097,0.0460020669267063,True,0.1629801147671479,0.172
NOV,0.162923688466446,0.0104832766225141,0.0460632807177471,True,0.162923688466446,0.0365
TMEM170A,0.162859604310649,0.0105140923831711,0.0461317357258353,True,0.162859604310649,0.001
PTGER3,0.1628326002953131,0.0105271016052059,0.0461317357258353,True,0.1628326002953131,0.0125
SLC35A4,-0.1628092236850223,0.0105383748088715,0.0461317357258353,True,0.1628092236850223,0.0215
RHBDF2,0.1627749648595962,0.0105549151637122,0.0461464580565795,True,0.1627749648595962,0.0005
HDGFL3,0.1626967741286237,0.0105927520792038,0.0462378705555683,True,0.1626967741286237,0.045
ETFRF1,0.1626568726731274,0.0106121067701669,0.0462378705555683,True,0.1626568726731274,0.002
RAP1B,0.1626500209080421,0.010615433445653,0.0462378705555683,True,0.1626500209080421,0.0015
MYC,-0.1626081042275208,0.0106358049468874,0.0462547502533899,True,0.1626081042275208,0.019
KLF8,0.1625492596567889,0.0106644616984133,0.0462547502533899,True,0.1625492596567889,0.0225
B3GALT6,0.162521046506438,0.0106782254217589,0.0462547502533899,True,0.162521046506438,0.003
ZDHHC2,-0.1624634110707211,0.0107063915422494,0.0462547502533899,True,0.1624634110707211,0.1575
MPHOSPH6,0.1624412435954454,0.0107172421342579,0.0462547502533899,True,0.1624412435954454,0.0155
JADE1,-0.162430764425315,0.0107223748867254,0.0462547502533899,True,0.162430764425315,0.0055
P2RY13,0.1624214943901997,0.0107269172090556,0.0462547502533899,True,0.1624214943901997,0.0005
EEPD1,-0.1624053725899992,0.0107348209500998,0.0462547502533899,True,0.1624053725899992,0.02
CAMTA1,-0.162398520824914,0.0107381815979457,0.0462547502533899,True,0.162398520824914,0.002
PVR,-0.1622800255934401,0.0107964482744782,0.0464486017902002,True,0.1622800255934401,0.0005
SMCO4,-0.1621691882170615,0.0108512020637018,0.0465791634478625,True,0.1621691882170615,0.0645
LOC100129291,0.1621647547220064,0.0108533973082398,0.0465791634478625,True,0.1621647547220064,0.0195
GABRG2,-0.161876577543422,0.010996932372519,0.04710052691695,True,0.161876577543422,0.0065
FADS2,0.1618669044633018,0.0110017792741476,0.04710052691695,True,0.1618669044633018,0.0
LINC02482,0.161751633591868,0.0110596835329528,0.0472906126158742,True,0.161751633591868,0.008
ARFGEF3,0.1616786824459606,0.0110964681157496,0.0473366568290496,True,0.1616786824459606,0.0245
TLR3,0.1616766672209356,0.0110974857957309,0.0473366568290496,True,0.1616766672209356,0.001
C2CD4C,0.1616150013351686,0.0111286666677619,0.0474119107913652,True,0.1616150013351686,0.028
HSD11B1L,0.1614977152387098,0.0111881849628954,0.047607562260097,True,0.1614977152387098,0.027
CCDC189,0.1614187184177272,0.0112284310702373,0.0477208320485088,True,0.1614187184177272,0.061
VANGL2,0.1613461703168248,0.0112655042787914,0.0477930807072907,True,0.1613461703168248,0.0005
EFNA5,-0.1613320637416494,0.011272725489498,0.0477930807072907,True,0.1613320637416494,0.0005
HSPB11,0.1612490364706167,0.0113153103042986,0.0479156187250952,True,0.1612490364706167,0.011
TPP2,-0.1611909979898948,0.0113451625660005,0.0479840088238334,True,0.1611909979898948,0.003
USP31,-0.161135780824208,0.0113736281591603,0.0480463761319415,True,0.161135780824208,0.008
FBXO32,-0.1610942671886917,0.0113950707765586,0.048078961276516,True,0.1610942671886917,0.009
PNCK,0.1609789963172579,0.0114547975883786,0.0482728052400746,True,0.1609789963172579,0.063
ANK1,-0.1608403488355334,0.0115270025329857,0.0485187053732165,True,0.1608403488355334,0.004
LGALS9C,0.1606501115931673,0.0116267275801882,0.0488797118677301,True,0.1606501115931673,0.0005
